theqille,1,nasa,2,nasasolarsystem
francik1203,1,hubble_space,1,esa,1,eso,1,marscuriosity,1,nasa,2,airportwebcams
longquint,1,cassinisaturn,2,esa_edm,1,nasajuno,1,neiltyson,2,nasa_dawn,1,nasa_orion,1,nasavoyager,1,nsfvoyager2,2,isee3reboot,1,spacedotcom,1,nasa_technology,1,esascience,1,nasa,1,nasa_johnson,1,spacegovuk,1,nasagoddard,1,hubble_space,1,esa,1,philae2014,1,esa_rosetta,1,esaoperations,2,epiccosmos,1,iss_research,1,marscuriosity
mechtech4,1,space_station,2,startrek,2,ep_president,2,smithsonianmag,2,lindaunobel,1,astro_alex,1,spacedotcom,1,setiinstitute,2,citedessciences,2,bi_science,1,esa_exomars,1,nasa_orion,2,nasawebb,1,spacegovuk,1,nasavoyager,2,xhnews,2,latinasinstem,1,stationcdrkelly,1,neiltyson,2,wikipedia,1,nasahqphoto,2,ieeeorg,1,exploreplanets,1,marscuriosity,2,marsoneproject,2,curiositydotcom,2,didactic,2,festo_us,1,nasajpl,2,dlr_en,1,csa_asc,1,nasa_technology,2,singularityhub,2,adafruit,2,openscience,2,popsci,2,whitehouseostp,2,sciencenews,2,discovery,2,sciencechannel,1,iss_research,1,esascience,1,esa,1,esaoperations,2,livescience,2,sciencefocus,2,physorg_com,2,geekdotcom,1,esa_rosetta,2,berkeleylab,1,spacex,1,nasa
flubujab,1,space_station,1,stationcdrkelly,2,loubrutus,1,nasa
vbteachn2nd,2,beachsupe,2,vabeachteach
gunz1943,2,reutersworld,2,defenseintel,2,drcolj,2,fbi
anecdotalsmith,2,nasaclimate,2,newshour,1,startalkradio,2,4terryfarrell,1,esascience,1,esa,1,nasajuno,2,climatereality,2,craigyferg,2,cbsnews,2,cnntech,1,nasa_johnson,2,nasaames,1,nasakennedy,2,digitaltrends,2,popsci,2,bigthink,1,stationcdrkelly,1,space_station,1,iss_research,1,nasa_technology,1,nasagoddard,1,nasa_orion,2,nasawebb,2,nasakepler,1,hubble_space,1,marscuriosity,2,arstechnica,2,physorg_com,1,badastronomer,2,cntraveler,2,robertpicardo,2,startrek,2,bi_science,1,nasa,1,spacex,2,moonex,2,pcmag,2,cnetnews,2,gizmodo,2,cnet,2,businessinsider,2,imax,1,lkrauss1,1,neiltyson,2,georgetakei,2,peeweeherman,2,normmacdonald
calitthecoolest,1,nasajuno,2,xart,2,mets,2,businessinsider
jkhokie,2,fletchrva
cclemonemma,2,cnn,2,mets,2,chipotletweets,2,tumblr,2,urbanoutfitters
