48.00,38.37,69.52,39.99,116.36,12.96,0.55,1.01,2.38,2.60,1.17,2.78,0.99,0.33,6.28,13.57,6.28,1.10,1.83,0.48,4.25,0.75,3.13,0.18,trust_no
72.25,53.09,36.95,16.59,44.95,17.51,0.21,3.59,1.11,1.22,1.32,4.82,1.57,1.91,8.89,13.92,6.86,1.54,2.43,0.46,6.44,2.90,2.67,0.00,trust_no
53.21,69.61,17.05,47.30,122.77,17.19,0.20,2.30,1.47,2.02,1.52,3.40,1.36,1.21,9.20,11.87,5.71,1.47,2.53,0.68,4.93,2.42,2.03,0.04,trust_no
60.89,47.34,22.11,5.86,86.71,15.71,0.16,3.97,1.12,1.52,0.93,4.23,1.69,2.17,10.40,13.16,6.06,1.31,1.69,0.33,6.47,3.79,2.43,0.07,trust_no
70.05,41.98,49.52,48.99,33.72,23.62,0.28,1.14,1.77,1.66,1.20,2.66,0.84,0.20,6.94,13.56,5.96,1.76,2.26,0.60,2.06,0.47,1.00,0.01,trust_no
93.60,62.51,40.81,91.20,15.09,23.11,0.12,0.62,1.12,1.51,1.14,1.80,0.39,0.06,6.93,16.44,8.02,2.16,2.93,0.82,2.48,0.32,1.72,0.05,trust_yes
87.14,36.96,1.00,21.84,37.50,17.70,0.02,0.34,0.12,0.10,0.03,0.70,0.10,0.44,1.58,1.04,0.44,0.25,0.82,0.17,4.09,0.37,3.55,0.00,trust_yes
71.61,51.63,63.30,90.49,12.49,23.86,0.41,0.25,1.23,1.14,1.14,1.88,0.41,0.08,8.91,16.01,5.56,1.55,2.70,0.08,2.94,0.25,1.80,0.00,trust_no
35.52,47.79,64.55,30.69,38.42,15.84,0.39,2.25,1.89,1.88,1.74,4.68,1.73,1.22,8.01,13.15,5.29,1.12,1.38,0.15,3.81,1.99,1.44,0.09,trust_no
60.35,58.13,71.23,46.58,23.57,21.55,0.17,0.27,1.27,1.88,0.75,1.44,0.51,0.00,5.47,13.89,4.89,1.09,1.16,0.34,3.59,0.14,3.25,0.00,trust_no
52.18,36.53,73.66,38.36,79.04,15.54,0.25,1.97,1.01,1.62,1.82,3.19,0.91,0.61,8.70,15.49,5.36,1.42,1.92,0.46,4.00,1.42,2.13,0.05,trust_no
48.61,50.49,69.04,78.22,41.89,14.17,0.33,0.87,1.46,2.64,1.24,2.96,0.80,0.12,6.57,14.79,5.46,2.31,1.69,0.48,4.85,0.76,3.28,0.10,trust_no
34.63,81.30,51.19,99.00,30.04,14.12,0.20,0.51,1.24,2.57,1.18,3.92,0.56,0.13,8.41,12.63,3.99,0.75,1.54,0.38,4.24,0.55,2.90,0.00,trust_no
44.87,63.26,56.93,58.43,12.55,16.87,0.40,1.66,1.53,1.93,1.53,4.78,2.19,0.46,7.70,11.89,4.91,1.66,1.39,0.86,3.45,1.13,1.66,0.07,trust_no
97.54,23.75,99.00,99.00,14.00,7.14,0.00,0.00,0.00,0.00,0.00,28.57,7.14,0.00,14.29,28.57,7.14,14.29,0.00,0.00,0.00,0.00,0.00,0.00,trust_no
43.23,44.30,74.92,46.71,15.17,13.68,0.19,1.62,1.38,1.75,1.79,4.77,2.25,0.89,7.13,15.41,6.01,1.33,1.68,0.50,3.21,1.80,0.62,0.03,trust_no
58.94,48.00,44.45,21.90,46.12,16.80,0.28,2.33,1.69,1.57,1.63,4.47,1.23,1.68,6.54,12.52,5.77,1.18,1.99,0.41,3.33,2.10,0.96,0.03,trust_no
14.63,44.26,57.81,25.29,53.16,12.42,0.26,2.66,1.66,2.21,1.79,3.90,1.58,0.84,7.96,10.67,4.57,0.93,1.07,0.42,7.37,2.63,3.42,0.17,trust_no
20.51,84.29,36.89,99.00,13.68,15.59,0.05,0.32,0.50,3.51,1.13,6.69,1.87,0.16,4.07,9.42,3.25,0.40,1.37,0.10,4.26,0.31,3.83,0.01,trust_no
37.39,40.12,15.86,72.57,3.08,25.00,0.00,2.50,2.50,2.50,2.50,0.00,0.00,0.00,7.50,5.00,2.50,0.00,2.50,0.00,7.50,5.00,0.00,0.00,trust_yes
44.30,41.10,43.91,2.81,42.49,17.35,0.53,4.31,1.23,1.40,1.05,10.64,2.23,3.20,5.71,11.17,4.91,0.95,1.20,0.48,8.94,4.16,4.08,0.05,trust_no
43.56,25.30,88.43,43.27,68.34,13.31,0.25,0.99,1.77,1.75,1.69,4.40,1.45,0.25,6.90,16.07,6.52,1.65,1.51,0.55,2.20,0.76,1.11,0.10,trust_no
95.40,68.31,27.54,16.38,16.01,24.65,0.33,1.15,1.48,0.66,1.56,1.97,0.66,0.25,7.23,15.86,11.09,1.56,5.67,0.58,2.71,0.49,1.97,0.00,trust_no
42.16,50.00,52.56,93.95,7.95,17.61,1.26,0.00,3.77,0.00,0.63,1.89,0.00,0.00,6.92,8.18,1.89,1.89,1.89,0.00,6.29,0.00,3.14,0.00,trust_no
76.60,44.49,66.45,8.60,28.67,15.33,0.24,2.92,1.10,2.44,1.18,5.19,1.09,1.82,7.88,17.71,7.63,1.39,2.13,0.83,4.98,2.78,1.47,0.01,trust_no
48.13,35.01,10.47,99.00,52.00,17.31,0.00,3.85,1.92,0.00,1.92,1.92,0.00,1.92,3.85,3.85,0.00,0.00,1.92,0.00,3.85,3.85,0.00,0.00,trust_no
32.74,35.96,78.72,22.52,98.12,12.32,0.39,2.32,2.08,2.47,1.97,4.11,1.74,0.63,7.01,14.07,5.54,1.43,1.51,0.33,5.54,1.99,3.01,0.10,trust_no
31.88,43.48,69.45,91.34,23.30,12.96,0.36,0.88,1.31,2.86,1.78,3.74,0.85,0.20,6.89,14.09,5.28,1.07,1.66,0.30,5.09,0.57,3.73,0.11,trust_no
45.71,71.86,54.02,79.03,11.29,18.79,0.34,0.63,2.11,2.33,1.97,3.29,0.80,0.09,7.20,13.52,5.28,1.05,1.95,0.45,1.95,0.44,1.21,0.02,trust_no
