mutatdjellyfish,nasajpl,pos
steely_eyed_x,cmdr_hadfield,pos
martinaheynkes,nasa,neg
extoreemtv,nasa,pos
craigludvigsen,nasa,pos
nasagoddard,albiondumsday,pos
cosmic_horizons,planetdr,pos
toasterwaffles6,nasa,pos
anandrjhns,nasa,neg
jt09191999,nasa,pos
callmefahim,nasa,pos
shuttlecdrkelly,jeffreykluger,pos
joshsideris,space_station,pos
scibry,vealslab,pos
astro_aggie,humanoidhistory,pos
jaimeandrea,spacex,pos
mstrmn_,nasa,neg
etphonegemini,nasa,pos
ruledbyzeus,nasa,pos
danieljf0x,neiltyson,pos
shivamp03743817,spacedotcom,pos
reclaimer2000,nasa,pos
s_dexyx,astro_reid,pos
lmaomelanie,nasa,pos
marshallraybell,nasa,pos
bamoonshadow,spacex,pos
hawkward18,neiltyson,pos
cosmicpinot,kejames,pos
agnt_spacecase,nasa,pos
astro2fish,astro_nicole,pos
astropixie,kejames,neg
nasavoyager,thecurrentcbc,pos
nasajpl,nasa_sls,pos
davidspergel,profmike_m,pos
bignick47,nasa,pos
michael_w_busch,elsisrad,pos
rjmunzy,nasa,neg
geekremixalot,nasa,pos
thedarkestsq,nasa,pos
babybob2121,nasa,pos
richfieldwis,nasa,pos
darrenjameswal1,nasa,pos
semimooch,nasa_orion,pos
spmc79,nasajpl,pos
applixir,neiltyson,pos
ampereo_,nasa,neg
andro656,nasa,neg
nasatopnews,cassinisaturn,pos
techforspace,esa,pos
jhdw936,nasa,pos
fairfaxeda_nm,nasa,pos
ms_rinna5,space_station,neg
doingmerightok,nasa,pos
lauraconwayy,nasa,pos
weathergil,astro_timpeake,pos
heatherdsmith88,nasa,neg
betulland,downhereonearth,pos
manuelnegromont,nasa,pos
cosmosontv,bethejustin,pos
gentleatheist,esa_rosetta,pos
miyikie,nasa,pos
jaribeni,spacex,pos
domdominator91,nasa,pos
kirkbalkscience,astro_timpeake,pos
chrislintott,spaceboffins,pos
abhee_agrawal,nasa,pos
normriggs,nasa,pos
stationcdrkelly,imax,pos
nickastronomer,davidgalvin9,neg
letheliah,nasa,pos
d0b0,nasa,pos
fig4159,nasa,pos
ben_haizlip,nasajpl,neg
stvrfire,nasa,pos
astropixie,nasa_dawn,pos
nasasocial,theweatherboy,pos
trumppumpkin,nasa,neg
herdegen_emma,nasa,pos
morganlindaj,nasa,neg
tonedoughjo,nasa,neg
vordermann,nasa,pos
aquart,nasa,pos
esa,dw_scitech,pos
princesardes,esa,pos
klingklang1968,nasa,pos
hargofett,nasa,pos
bradfordwirt,nasahqphoto,pos
esa_caves,lindyloo1979,pos
nasagoddard,osirisrex,pos
apollosoyuzsara,nasa,pos
choudharyp28,nasa,neg
iamkaraine,nasa,pos
catherineq,adamfrank4,pos
mally1969ste,nasa,pos
annelisenews,nasa,pos
niceaccent,nasa,pos
philvanza,nasa,pos
efccoyney,nasa,pos
calmuggo,spacex,pos
vokkedup,nasa,neg
twcmarialarosa,nasa,pos
thorntonrachie,nasa_johnson,pos
zakcircuits,nasa,neg
wmtcongress,nasa,pos
mattal31saleh,nasa,pos
nasa_technology,aiaa,pos
ncorrigiblecole,nasa,neg
laneybearr,nasa,neg
astronomynewsau,esa_rosetta,pos
startalkradio,nasa_wallops,pos
kpmg555,neiltyson,pos
jeg_prashant,nasa,pos
nasablueshift,nasawebb,pos
itskxrdei,nasa,pos
leowdcaprio,nasa,pos
nmpanek,airspacemag,pos
kerrollnova,neiltyson,pos
videovidivisum,nasa,pos
krisbellino,nasa,pos
oconner998,nasa,pos
holdthatbox,nasa,pos
marsvikingteam,nasa,pos
jckatz411,nasa,pos
unclejoe1116,spacex,pos
thster,nasa,pos
yourglobalblog,spacedotcom,pos
mykingtetsu,nasa,neg
flixnut1,nasa,pos
matszuucc,nasa,pos
louiestowell,astro_timpeake,pos
datawolf4005,nasa_johnson,pos
dennis0074,nasa,pos
bentenblessing,nasa,neg
neiltyson,medic2216,pos
jarosenberg12,nasa,pos
irishspaceblog,esa,pos
go2mb,nasa,pos
captainjavi,nasa,pos
murielsoz,nasa,neg
rberrucho,nasa,pos
marscuriosity,thegamerguy66,pos
putoastronauta,nasa,pos
mancthespunky,nasa,pos
digital_lif3,nasa,neg
deschampspat,nasa,pos
nasa_orion,regdude2,pos
foreman_mike,americaspace,pos
godfreeworld,nasa,pos
jawshhh,nasa,neg
jhjones,ingallsimages,pos
cheriedlyon1,nasa,neg
lccgradschool,nasa,pos
oiianasser,nasa,pos
missmyrtle2,nasa,pos
thought4rce,nasa,pos
ravinaproject,nasa,pos
suedanim,esa_rosetta,pos
poppyharlowcnn,spacex,pos
pdevi8,nasa,neg
karenlmasters,drmrfrancis,neg
astronomolly,astrokatey,pos
marscuriosity,prophetpvd,pos
cmdr_hadfield,bbcbreakfast,pos
_david_harden_,nasa,pos
charliemcljr,nasa,pos
cseethru,nasa,pos
mhmeldymh,nasa,pos
astro_maker,selyb,pos
arc_nu,nasa,neg
cfijohnson,nasa,pos
chickacquired,space_station,pos
prize_jesse,esa,pos
plainsj,neiltyson,neg
forge001,spacedotcom,pos
nasagoddard,eric_helio,pos
astroduff,sandygrains,pos
polyisopima,nasa,pos
jdrodrigueztcd,nasajuno,pos
d1v1n1a1,neiltyson,pos
dues_mortis,nasa,pos
memgo8,nasa,pos
andromenerds,nasajpl,pos
profsofuoglu,nasa,pos
nanpuetz,nasa,pos
randyranks88,esa_rosetta,pos
skirdenkoartur,nasa,pos
todstertodd,space_station,neg
1eugenia234,nasa,pos
nicholasawortw2,nasa,pos
nasago,nasa,pos
comicbooknerd23,nasa,pos
emilylurice,startswithabang,neg
amazingexpress,nasa,pos
davidjohnson_27,nasa,pos
lilsg31,nasa,pos
electronic_eqpt,nasa,pos
emilylurice,ifttt,pos
astro_reid,laneluckie,pos
idious68,cassinisaturn,pos
nasajpl,sherib1968,pos
auvsi,nasa,pos
thomas1poulier,spacex,pos
madcharged,nasa,pos
jim_philpot,nasa,neg
pratapsinghmal1,sethshostak,neg
astronomolly,kevinschawinski,neg
governa,nasa,pos
jackeamonn,cmdr_hadfield,pos
colbadger,nsfvoyager2,pos
ilovemarsfans,space_station,pos
chikara67,neiltyson,neg
justinbachman,nasa,pos
edmund_ca,stationcdrkelly,pos
antiproton_com,astrokatie,pos
albertfeynman,esa,neg
howagreg,catherineq,pos
rafikwesten5017,cassinisaturn,pos
tanyaofmars,marscuriosity,pos
ipond317,universetoday,pos
antyalt,neiltyson,pos
soundconvincer,nasa,pos
chrisnagycarguy,nasa,pos
asqui23,nasa_orion,pos
spacex,nasaspaceflight,pos
marcustuvlin,startalkradio,pos
huberfelix,spacex,pos
bj_bobbijo,space_station,neg
actobotics,nasa,pos
i_we_gaia,esaoperations,pos
cosmic_horizons,realscientists,neg
zemanelv,nasa,pos
acrispy12,nasa,pos
sam_johnson_21,nasa,pos
dubengeldu,esa,pos
emilylurice,aussiastronomer,neg
tsl515076,nasa,pos
owcampbell,spacex,pos
emuoutofcontext,nasa,neg
observablenews,spacedotcom,pos
infventures,nasa,pos
nasablueshift,novapbs,pos
pstinard,nasa,pos
otomodachifan1,nasa,pos
jungnfreudened,nasa,pos
randomspacefact,elevenpointtwo,pos
gottalaff,nasa,pos
ashley_sault,nasa,neg
stevebloom55,astrokatie,pos
executivebiz,nasa,pos
astro_luca,nasaspaceflight,pos
erika_carbon,nasa,neg
d_teck,nasa,pos
planet4589,prgrmr42,pos
jgarcein,nasajuno,neg
illumine8pr,nasa,neg
akt_japan,nasa,pos
torybruno,astroallie5,neg
emjem9,nasa,pos
harballou,esa_rosetta,pos
enemy_is_great,esa,pos
carlthought4day,nasa,pos
endzoneblog,nasa,pos
astro_jeremy,thom_astro,pos
tspan88,nasa,pos
rahuldev2994,nasa,pos
sallyredux,nasa,neg
eufisica,nasa_orion,pos
stdavidont,cmdr_hadfield,pos
astrokatie,gerardobarbosa,pos
s4aofficial,nasa,neg
craig_powers,astro_timpeake,pos
astroguyz,nasajpl,pos
lennymorris4,nasa,pos
apexxshift,space_station,pos
daddybudsdoorag,exploreplanets,pos
heartsurgeon111,nasa,pos
fabiopuc,esaoperations,pos
dr_siva_prakash,spacex,neg
recoveryliberal,nasa,pos
itzlinda2012,nasa,pos
rappolee,elakdawalla,pos
lornaortizpr,nasa,neg
aldhaheri1978,esa_rosetta,pos
whoisnickchaff,nasa,neg
kristinkandelin,esa_rosetta,pos
nerdzinfinity,nasa,neg
d1cs0s,nasa,neg
mhjowher,nasa,neg
petersmitgary,nasa,neg
esa_rosetta,anoushehansari,pos
lilelectronblue,nasa,neg
astrokatie,monicagrady,pos
spacegovuk,awesomeastropod,pos
citizensoftech,astro_mike,pos
canadienatheist,nasa,pos
unilateraloptio,marscuriosity,pos
jaspreetsahi,nasa,pos
gustavini1973,astroterry,pos
nicklesh1,neiltyson,pos
the_solarsystem,popsci,pos
docdailey,nasa,pos
electriclemon99,nasa,pos
sarahjaswim,space_station,pos
eringrowth,esa_rosetta,neg
astrokatie,breakfastnews,neg
aimee_b_loved,nasa,pos
todosnetwork,nasa,pos
binkersoff,marscuriosity,pos
paccouncil,nasa,pos
aeeeshaaa,nasa,pos
nicolasbor76,nasa,pos
red3199,nasa,pos
esa_rosetta,nasa_dawn,pos
jackthomson01,nasa,pos
siobsi,esa_rosetta,pos
astro_mike,astro_eustice,pos
knowled,nasahqphoto,pos
gvbujade,astro_reid,pos
tellahtruth,esa,pos
lloydofthewest,coreyspowell,pos
kbyocum68,nasa,pos
i3bs,nasa,pos
edmandsfesln,space_station,pos
salfonsi,nasa,pos
bettycjung,spacedotcom,pos
torybruno,trampolinrocket,pos
stella_nova23,nasavoyager,pos
allys1029,nasa,pos
coreyspowell,deefa45,pos
isaacvollmer,hubble_space,pos
haydenmrut,nasa,neg
usamaasali,nasa,pos
katwillums,nasa,pos
psdifabio,nasa,neg
monicaleaaa,nasa,pos
larlar1971,nasa,pos
nadiapym,nasa,pos
fireproof420,cassinisaturn,pos
oscar__triana,nasa,pos
reedville_tx,space_station,neg
6milesunder,nasa,neg
jnothwangbass,spacex,pos
janicedean,nasa,pos
ncleanne,nasa,pos
astro_tj,pillownaut,pos
sonicgeekette,nasa,pos
shahnaimesh,spacex,pos
m_c_ruer,nasa,neg
spazmariana,astrosamantha,pos
crashpalace,csa_asc,pos
teawithacupcake,nasa,pos
tyrionl08635534,nasa,pos
mickwilson20,therealbuzz,neg
drfunkyspoon,ghroznak,neg
r_stone3,cassinisaturn,pos
ewfeez,nasa,pos
joshuadykes5,nasa,pos
catqb,cmdr_hadfield,pos
hozho07,nasa,pos
kcbtcb,space_station,pos
macfixer_1,spacex,pos
staringatclouds,nasa,neg
adrian_wainer,nasa_johnson,pos
hells_bells_x,nasa,pos
harris_science,spacedotcom,pos
eddiemurder1,nasa,neg
ckirmser,nasa,pos
uuallan,nasa,pos
portiand_ghosts,nasa,pos
starlinglx,astro_andre,neg
catherineq,prgrmr42,pos
leonisspace,spacex,pos
eenscotland,esa,pos
darylthedevine,nasa,neg
tillidie26,nasa,pos
jayaribcm,universetoday,pos
priyalbiswas,nasa,pos
kweelchy,nasa,pos
drfunkyspoon,smithsonianmag,pos
jamiekg484,startalkradio,pos
pc0101,iss_research,pos
spacecampusa,iss_research,pos
scottstonum,nasa,pos
looknow123,nasa,neg
temperance206,nasa,neg
torybruno,missaerospace,pos
musicaltrees,nasa,pos
nourtra00456201,nasa,neg
rocketscient1st,nasa,pos
coreyspowell,arielwaldman,pos
whybankcollapse,nasa,pos
aniifiess,nasa,pos
aaltotatu,nasakennedy,pos
fiddleback,nasa,pos
lkrauss1,astroexeter,pos
bigkkm,newhorizons2015,pos
benfictional,nasa,pos
donengene,nasa,pos
3dprintboardcom,nasa,pos
saladroper,nasa,pos
crossingthetrax,esa,pos
jimfranklin100,nasa,neg
dmvanderhoof,nasa,neg
andypalooza,nasa_orion,pos
beatenrailroad,spacex,neg
dgschell,spacex,pos
benneholwerda,badastronomer,pos
scidude1,space_station,pos
kayenne22,nasa,neg
nasa,mlystclr,pos
davidthibaut1,esa_rosetta,pos
corrinemikayla,nasa,neg
iss_casis,space_station,pos
occyocc,nasa,neg
luke24740,esa,pos
kasafc,spacedotcom,pos
themadstone,esa_rosetta,neg
kjochec,astro_mike,pos
ismail_mk7,spacex,pos
natgoum,esa,pos
irenaorlov,nasa,pos
stredni_trida,spacedotcom,pos
russellrhoads,nasa,pos
camillian98,nasa,neg
briny_bear,nasa,pos
mendesphangirl,nasa,pos
expedmedicine,esaoperations,pos
astrokatie,jegpeek,pos
lauramayne,cmdr_hadfield,pos
samantha427977,nasa,pos
aahlili,space_station,pos
jennjefferys,nasa,neg
incatrades,nasa,pos
originalradi,nasa,pos
boyhominid,nasa,pos
jaimecor_94,nasa,pos
onera_fr,nasa,pos
drjeffreyp,nasa,pos
sarahkendrew,jr_pritchard,pos
ckalaitzakis,chrislintott,neg
micktwits,chrislintott,pos
coreyspowell,psutympany,pos
johnnywaygook,esa_rosetta,neg
devolutionman,nasa,pos
two4jun,nasa,pos
liguy743,esa_rosetta,pos
brianemahl,nasa,pos
nasa,dipxsss,neg
drcasey_science,nasa,pos
astro_jeremy,startrek,pos
stfuyb,nasa,neg
selinathinks,nasa,pos
drparsons13,nasa,pos
drfunkyspoon,esacleanspace,pos
cryptoteflon,nasa,pos
bitprophet,nasa,neg
nazgar001,nasa,pos
autofashions,marscuriosity,pos
annettehodges17,nasa,pos
avantdotorg,nasa,pos
eurobillion,cassinisaturn,pos
badastronomer,starstryder,neg
sibaburck,space_station,pos
hellotinafonti,nasa,pos
chrustopherh,nasa,neg
tragure,catherineq,pos
cntroversyincda,astroannimal,pos
michaelaye,cassinisaturn,pos
summer_ash,ageekmom,neg
haydenscroggins,nasa,pos
dvdsdavid_silva,nasa,pos
niwaweather,space_station,pos
andrej_gross,astrosamantha,pos
physorg_biology,nasa,pos
vwolpendz,nasa,pos
kiragood,nasa,pos
3point1four159,startalkradio,pos
geethapn70,nasa,pos
csa_asc,daveatcogs,pos
wombatslo,badastronomer,pos
kenndietrix,esa,pos
curious_sailor,nasa,pos
calmuggo,iss_research,neg
arjundnair2,esa_rosetta,pos
annmaura,nasa,pos
fhdabha,nasa,pos
stork_a,nasa,neg
allliperryman,nasa,pos
catholicu_news,nasa,pos
gold_teef,nasa,pos
nzovito,nasa_orion,pos
leebuliay,nasa,pos
