engphoto,iss_research,36,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
misterhw,nasa,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
tsgz7zv3ydwqted,esa,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
teamsuper_nz,nasa,9,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0
buffer,nasa,105,13,3,0,0,0,0,0,0,53,5,0,0,0,0,0
replaurahalld19,nasa,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
gawbymoon,nasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffdsalisbury,spacedotcom,5,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
illus10nz,nasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ouphyssci,marscuriosity,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gl3a99,nasa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lotusg13,marscuriosity,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
trassens,astrobiology,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
scienceatwingd,setiinstitute,19,2,23,0,1,0,1,0,0,1,0,0,0,0,0,0
aristofanea,nasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinnamonbyte,nasa,8,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0
ieeeorg,spacex,59,0,38,0,0,0,0,0,0,6,5,0,0,0,0,0
19jpullen68,nasa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miss_bored_alot,neiltyson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bentley_holley,nasa,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
feonixforever,nasa,24,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0
thatspacelava,nasa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fragraptor,esa_rosetta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gabbybirkman,spacedotcom,48,0,49,0,0,0,0,0,0,0,1,0,0,0,0,0
_sarahfay_,nasa,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
christineeekim,nasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pollick_chris,nasa,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
katechadwick5,nasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cessnadriver172,astro_mike,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
articlemkultra,nasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tylerr2rs,nasa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexteha,neiltyson,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
robbycruz7,nasa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holyhojbjerg,nasa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handynsac,nasa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
margeaux_fr,stationcdrkelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
