ANTICIPAT\w*
APPRECIAT\w*
ASPIRAT\w*
BELIEF\w*
BELIEV\w*
COMMIT\w*
CONFIDEN\w*
DEPEND\w*
DESIRE\w*
EMPATH\w*
FAITH\w*
HONOR\w*
RESPONSIBIL\w*
RELY\w*
SHAR\w*
TRUST\w*
UNDERSTAND\w*
VALU\w* 
WISH\w*
