-0.12,-0.26,0.61,0.61,-0.13,0.61,-0.2,trust_yes
-0.17,-0.26,0.61,0.61,-0.19,0.61,-0.25,trust_yes
-0.16,-0.26,0.61,0.61,-0.17,0.61,-0.25,trust_yes
-0.2,-0.04,-1.47,-1.61,-0.2,-1.49,-0.26,trust_yes
-0.2,-0.04,0.61,0.61,-0.2,0.61,-0.26,trust_yes
-0.11,0.17,0.61,0.61,-0.09,0.61,-0.2,trust_yes
-0.11,0.17,0.61,0.61,-0.09,0.61,-0.14,trust_yes
-0.2,-0.04,0.61,0.61,-0.2,0.61,-0.26,trust_yes
-0.17,-0.04,0.61,0.61,-0.17,0.61,-0.26,trust_yes
-0.14,-0.04,0.61,0.61,-0.15,0.61,-0.15,trust_yes
-0.04,-0.26,0.61,0.61,-0.06,0.61,-0.19,trust_yes
0.48,9.32,0.61,0.61,1.03,0.61,-0.26,trust_yes
-0.2,-0.04,0.61,0.61,-0.2,0.61,-0.26,trust_yes
-0.16,3.87,0.61,0.61,0.07,0.61,-0.15,trust_yes
1.14,-0.26,0.61,0.61,1.12,0.61,-0.18,trust_yes
0.56,0.61,0.61,0.61,0.59,0.61,1.06,trust_yes
-0.17,-0.26,0.61,0.61,-0.19,0.61,-0.17,trust_yes
-0.12,-0.04,0.61,0.61,-0.12,0.61,-0.12,trust_yes
-0.03,-0.26,-1.47,-1.61,-0.04,-1.49,-0.2,trust_yes
-0.03,-0.26,0.61,0.61,-0.04,0.61,-0.19,trust_yes
0.05,-0.26,0.61,0.61,0.03,0.61,-0.23,trust_yes
-0.14,-0.26,0.61,0.61,-0.16,0.61,-0.17,trust_yes
-0.16,-0.04,0.61,0.61,-0.16,0.61,-0.09,trust_yes
-0.14,-0.26,0.61,0.61,-0.16,0.61,-0.13,trust_yes
-0.12,1.26,-1.47,-1.61,-0.04,-1.49,-0.19,trust_yes
-0.12,1.26,0.61,0.61,-0.04,0.61,-0.15,trust_yes
-0.12,1.26,-1.77,-1.68,-0.04,-1.76,-0.22,trust_yes
-0.17,-0.26,0.61,0.61,-0.19,0.61,-0.24,trust_yes
-0.08,1.48,0.61,0.61,0.01,0.61,0.27,trust_yes
0.56,5.18,0.61,0.61,0.86,0.61,0.01,trust_yes
-0.11,-0.04,0.61,0.61,-0.11,0.61,0.7,trust_yes
-0.16,-0.26,0.61,0.61,-0.17,0.61,-0.25,trust_yes
-0.18,-0.26,0.61,0.61,-0.2,0.61,-0.25,trust_yes
-0.13,-0.04,0.61,0.61,-0.13,0.61,-0.2,trust_yes
-0.13,-0.26,0.61,0.61,-0.15,0.61,-0.19,trust_yes
0.05,0.39,0.61,0.61,0.07,0.61,-0.19,trust_yes
-0.14,0.17,0.61,0.61,-0.13,0.61,-0.23,trust_yes
-0.14,0.17,-1.76,-1.67,-0.13,-1.75,-0.25,trust_yes
-0.18,-0.04,0.61,0.61,-0.19,0.61,-0.23,trust_yes
-0.2,0.17,0.61,0.61,-0.19,0.61,-0.26,trust_yes
-0.2,0.17,-1.47,-1.61,-0.19,-1.49,-0.25,trust_yes
-0.17,-0.26,0.61,0.61,-0.19,0.61,-0.25,trust_yes
-0.16,-0.04,0.61,0.61,-0.16,0.61,-0.24,trust_yes
-0.03,-0.04,0.61,0.61,-0.03,0.61,0.21,trust_yes
-0.12,-0.26,0.61,0.61,-0.13,0.61,-0.05,trust_yes
-0.12,-0.26,-1.65,-1.66,-0.13,-1.65,-0.19,trust_yes
-0.18,-0.26,0.61,0.61,-0.2,0.61,-0.26,trust_yes
-0.16,-0.26,0.61,0.61,-0.17,0.61,-0.24,trust_yes
-0.16,-0.26,-1.46,-1.53,-0.17,-1.47,-0.26,trust_yes
-0.16,-0.26,0.61,0.61,-0.17,0.61,-0.22,trust_yes
-0.17,-0.04,0.61,0.61,-0.17,0.61,-0.19,trust_yes
-0.13,0.61,0.61,0.61,-0.09,0.61,-0.22,trust_yes
-0.13,0.61,-1.46,-1.53,-0.09,-1.47,-0.22,trust_yes
0.91,-0.26,0.61,0.61,0.89,0.61,1.29,trust_yes
0.91,-0.26,-1.41,-1.6,0.89,-1.43,1.22,trust_yes
-0.0,2.35,0.61,0.61,0.14,0.61,-0.1,trust_yes
-0.03,-0.04,0.61,0.61,-0.03,0.61,-0.19,trust_yes
-0.17,-0.04,0.61,0.61,-0.17,0.61,-0.22,trust_yes
-0.16,-0.26,0.61,0.61,-0.17,0.61,-0.22,trust_yes
-0.16,-0.26,0.61,0.61,-0.17,0.61,-0.2,trust_yes
-0.08,-0.04,-1.73,-1.67,-0.08,-1.72,-0.16,trust_yes
-0.09,0.39,-1.47,-1.61,-0.07,-1.49,-0.19,trust_yes
-0.09,0.39,0.61,0.61,-0.07,0.61,-0.12,trust_yes
-0.18,-0.26,0.61,0.61,-0.2,0.61,-0.23,trust_yes
-0.13,-0.26,0.61,0.61,-0.15,0.61,-0.26,trust_yes
