4,0,55903,8677,4,64580,24,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,trust_no
4,0,523,11,4,534,9,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,trust_yes
6,1,55903,8677,7,64580,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,trust_no
2,3,55903,8677,5,64580,11,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,trust_no
1,1,55903,8677,2,64580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
0,1,55903,8677,1,64580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
1,2,55903,8677,3,64580,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,trust_no
0,1,55903,8677,1,64580,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,trust_no
3,0,55903,8677,3,64580,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
3,1,55903,8677,4,64580,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
6,0,55903,8677,6,64580,6,5,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,trust_no
2,0,55903,8677,2,64580,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
0,1,55903,8677,1,64580,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
0,2,55903,8677,2,64580,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,trust_no
2,1,55903,8677,3,64580,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
0,1,55903,8677,1,64580,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,trust_no
0,1,55903,8677,1,64580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
0,2,55903,8677,2,64580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
0,1,55903,8677,1,64580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
1,1,55903,8677,2,64580,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,trust_no
