marshallraybell,nasa,10,0,55903,8677,10,64580,2
michael_w_busch,elsisrad,649,152,22,0,801,22,20
manuelnegromont,nasa,4,0,55903,8677,4,64580,2
d0b0,nasa,38,0,55903,8677,38,64580,26
nasagoddard,osirisrex,466,18,382,23,484,405,799
twcmarialarosa,nasa,28,0,55903,8677,28,64580,171
laneybearr,nasa,0,2,55903,8677,2,64580,1
unclejoe1116,spacex,11,0,9247,328,11,9575,9
putoastronauta,nasa,16,1,55903,8677,17,64580,24
deschampspat,nasa,59,0,55903,8677,59,64580,140
cseethru,nasa,27,0,55903,8677,27,64580,19
cfijohnson,nasa,5,0,55903,8677,5,64580,1
astroduff,sandygrains,803,112,27,3,915,30,85
skirdenkoartur,nasa,4,0,55903,8677,4,64580,5
todstertodd,space_station,17,5,8043,589,22,8632,3
nasago,nasa,11,0,55903,8677,11,64580,57
governa,nasa,12,0,55903,8677,12,64580,11
rafikwesten5017,cassinisaturn,12,5,3863,85,17,3948,10
cosmic_horizons,realscientists,523,148,99,16,671,115,66
dubengeldu,esa,51,12,5155,135,63,5290,91
erika_carbon,nasa,4,3,55903,8677,7,64580,0
astro_jeremy,thom_astro,107,13,221,14,120,235,481
sallyredux,nasa,4,2,55903,8677,6,64580,11
heartsurgeon111,nasa,27,4,55903,8677,31,64580,11
lilelectronblue,nasa,4,7,55903,8677,11,64580,10
jackthomson01,nasa,9,2,55903,8677,11,64580,3
siobsi,esa_rosetta,21,1,4545,304,22,4849,31
torybruno,trampolinrocket,1379,106,18,4,1485,22,217
coreyspowell,arielwaldman,429,83,74,1,512,75,203
whybankcollapse,nasa,26,0,55903,8677,26,64580,29
iss_casis,space_station,96,0,8043,589,96,8632,1085
irenaorlov,nasa,38,0,55903,8677,38,64580,57
incatrades,nasa,14,1,55903,8677,15,64580,24
sarahkendrew,jr_pritchard,504,85,48,7,589,55,93
csa_asc,daveatcogs,358,9,21,0,367,21,94
drphilmarshall,mrtommyb,248,36,37,9,284,46,36
invi_god,nasa,29,0,55903,8677,29,64580,9
hunkerdad,nasa,10,1,55903,8677,11,64580,3
planet4589,ucssatdb,888,169,6,0,1057,6,32
tracy_karin,nasa,120,0,55903,8677,120,64580,496
michael_w_busch,benjaminsharkey,649,152,33,6,801,39,37
andrestb,nasa,14,0,55903,8677,14,64580,17
adeptpasanga,cassinisaturn,1,2,3863,85,3,3948,1
astrodot,astro_clay,335,8,181,8,343,189,415
drfunkyspoon,tim846,628,95,20,1,723,21,59
